,Round No.,Validation Acc.,Validation F1,Hyperparameter
0,0,0.9888888888888889,0.9903837158586495,0.001
1,1,0.9925925925925926,0.9929917664496333,0.001
2,2,0.9925925925925926,0.9927469398279609,0.001
